Date,rs_korea
2020-08-05,68.66923522458274
2020-08-06,69.12057045353102
2020-08-07,69.33808787404395
2020-08-10,70.15183077955459
2020-08-11,71.69285732488032
2020-08-12,71.10696246381872
2020-08-13,71.38745026443458
2020-08-14,70.50557886118447
2020-08-18,68.40483836493546
2020-08-19,69.05064987489615
2020-08-20,66.31911475716365
2020-08-21,66.96718785307414
2020-08-24,67.02148552364086
2020-08-25,67.8455692933836
2020-08-26,67.24561572494886
2020-08-27,66.39460374073896
2020-08-28,66.23157025915634
2020-08-31,65.69208269391824
2020-09-01,65.73323335944126
2020-09-02,65.20471674965499
2020-09-03,68.42920356053475
2020-09-04,68.19629183218923
2020-09-08,71.10846556309308
2020-09-09,68.97373111094801
2020-09-10,70.80322078392429
2020-09-11,70.77338981077169
2020-09-14,70.76325872762456
2020-09-15,70.86197460288017
2020-09-16,70.92128546513159
2020-09-17,70.67671783819692
2020-09-18,71.68501928744438
2020-09-21,71.80037263734657
2020-09-22,69.38688547859132
2020-09-23,71.05404620462748
2020-09-24,69.02644454190607
2020-09-25,68.11027830661675
2020-09-28,67.85862784408437
2020-09-29,68.81581612702323
2020-10-05,68.18976002064375
2020-10-06,69.40485324730487
2020-10-07,68.82408088745677
2020-10-08,68.36296894124537
2020-10-12,67.01320916866936
2020-10-13,67.43715394186543
2020-10-14,67.22336784628666
2020-10-15,66.76170422100131
2020-10-16,66.24528451829012
2020-10-19,67.41767584954357
2020-10-20,67.48262982200602
2020-10-21,67.96751910198269
2020-10-22,67.14594484480509
2020-10-23,67.08242235541304
2020-10-26,67.85619182416634
2020-10-27,67.71125313297928
2020-10-28,70.54115602382193
2020-10-29,69.27791737055703
2020-10-30,68.21681490586293
2020-11-02,68.44292449913992
2020-11-03,68.5171674818261
2020-11-04,67.4200278857739
2020-11-05,67.7144424640928
2020-11-06,67.80596108521661
2020-11-09,67.8152510459307
2020-11-10,68.07109926717204
2020-11-11,68.47932036893613
2020-11-12,68.86501634301241
2020-11-13,68.42537498872107
2020-11-16,68.91396166028261
2020-11-17,69.18090765601995
2020-11-18,70.20259344637097
2020-11-19,69.9571311255964
2020-11-20,70.60762445223135
2020-11-23,71.5362129067585
2020-11-24,70.81215928541226
2020-11-25,70.4820362459348
2020-11-27,71.14840835784022
2020-11-30,70.322023247718
2020-12-01,70.713093112638
2020-12-02,71.68032376944858
2020-12-03,72.24433010132832
2020-12-04,72.56298156833464
2020-12-07,73.08483034382839
2020-12-08,71.69019377197526
2020-12-09,73.79972339195656
2020-12-10,73.58248003411649
2020-12-11,74.30188989675347
2020-12-14,74.42427205487367
2020-12-15,73.28850253218192
2020-12-16,73.57101814000744
2020-12-17,73.1259974482396
2020-12-18,73.465526889974
2020-12-21,73.90122128811778
2020-12-22,72.8279392598116
2020-12-23,73.4583273202279
2020-12-24,74.42085291846604
2020-12-28,73.83271164438175
2020-12-29,74.28751579393649
2020-12-30,75.57458280768432
2021-01-04,78.1133563081309
2021-01-05,78.79418584327962
2021-01-06,77.74029277176714
2021-01-07,78.24018212963476
2021-01-08,80.88911566978977
2021-01-11,81.34170119251395
2021-01-12,80.74336042323525
2021-01-13,81.1019894584721
2021-01-14,81.42938622574441
2021-01-15,80.36018531625854
2021-01-19,79.90877915590822
2021-01-20,79.37592385502529
2021-01-21,80.48227405118756
2021-01-22,80.25170931590219
2021-01-25,81.67639641191428
2021-01-26,80.05327296875112
2021-01-27,81.5950257313668
2021-01-28,79.5129331673426
2021-01-29,78.68283800006517
2021-02-01,79.48322813124189
2021-02-02,79.40784862923765
2021-02-03,80.18763582355442
2021-02-04,78.21917267310687
2021-02-05,78.74728291601359
2021-02-08,77.44633088282129
2021-02-09,77.3332167165605
2021-02-10,77.76596668738287
2021-02-16,78.88882825475558
2021-02-17,78.13471369357087
2021-02-18,77.29001773273285
2021-02-19,77.95252837270647
2021-02-22,77.85224701956079
2021-02-23,77.5139216807569
2021-02-24,74.79335990364852
2021-02-25,79.3195187395573
2021-02-26,77.49922859928165
2021-03-02,77.04277553293399
2021-03-03,79.080397402775
2021-03-04,79.04538642718563
2021-03-05,77.17808477837619
2021-03-08,76.79148083193678
2021-03-09,75.20539391571818
2021-03-10,74.28812777803427
2021-03-11,74.92426341523051
2021-03-12,75.83372088906543
2021-03-15,75.1699382449925
2021-03-16,75.79519602546256
2021-03-17,75.05317572016654
2021-03-18,76.62390130558812
2021-03-19,76.10295178211676
2021-03-22,75.3989801246164
2021-03-23,75.22800927790614
2021-03-24,75.40126856696865
2021-03-25,75.27925841995072
2021-03-26,74.89016937637568
2021-03-29,74.80556869121558
2021-03-30,75.84351150699081
2021-03-31,75.32621408845309
2021-04-01,75.15385103939298
2021-04-05,74.89267648595474
2021-04-06,75.08702561591689
2021-04-07,75.24795759026898
2021-04-08,75.0321192405867
2021-04-09,74.22086138888199
2021-04-12,74.28172710334812
2021-04-13,74.85324715237624
2021-04-14,75.4249793668407
