Date,rs_small
2021-06-02,94.18260414268241
2021-06-03,93.74268324752305
2021-06-04,93.29515220816701
2021-06-07,94.63827712834679
2021-06-08,95.61991877261775
2021-06-09,95.12545829704405
2021-06-10,93.98314963103044
2021-06-11,94.81842344971312
2021-06-14,94.32894601342277
2021-06-15,94.23229908845988
2021-06-16,94.5598209127641
2021-06-17,93.52952568576649
2021-06-18,92.65615773342563
2021-06-21,93.30178899672322
2021-06-22,93.22699331733376
2021-06-23,93.64664941799913
2021-06-24,94.41093877619493
2021-06-25,94.23501222706253
2021-06-28,93.30044400696487
2021-06-29,92.80514722220664
2021-06-30,92.73922747874433
2021-07-01,93.04082516818913
2021-07-02,91.45717378137246
2021-07-06,90.29282416349189
2021-07-07,89.1382666582997
2021-07-08,89.04312866785476
2021-07-09,89.96248510000845
2021-07-12,89.71663272573774
2021-07-13,88.32691725797119
2021-07-14,86.83449520888135
2021-07-15,86.63845839910897
2021-07-16,86.2480254453548
2021-07-19,86.22946795222623
2021-07-20,87.6491223959942
2021-07-21,88.44272400590576
2021-07-22,86.85488440955662
2021-07-23,86.3716766579199
2021-07-26,86.411350067497
2021-07-27,85.79379692537444
2021-07-28,87.09107811889373
2021-07-29,87.39906853555925
2021-07-30,87.24540343332781
2021-08-02,86.99375482541349
2021-08-03,86.64874793532775
2021-08-04,85.99286376096995
2021-08-05,86.98748189728957
2021-08-06,87.37592595483999
2021-08-09,86.96556203982468
2021-08-10,87.02958023895967
2021-08-11,87.23893763755403
2021-08-12,86.77220737085297
2021-08-13,85.82664876062879
2021-08-16,84.82737244551024
2021-08-17,84.34642184161531
2021-08-18,84.53497971246301
2021-08-19,83.39307678310112
2021-08-20,84.13224491614322
2021-08-23,84.98519958669254
2021-08-24,85.68503767041966
2021-08-25,85.80633230969808
2021-08-26,85.40056028055527
2021-08-27,87.03087563372968
2021-08-30,86.29391384745622
2021-08-31,86.5905871222635
2021-09-01,87.1268609133224
2021-09-02,87.46304821604677
2021-09-03,87.07935401503286
2021-09-07,86.78994288241033
2021-09-08,85.94772789175454
2021-09-09,86.27482527048376
2021-09-10,86.10953803175057
2021-09-13,86.37803415529055
2021-09-14,85.74010833421136
2021-09-15,85.7988460275631
2021-09-16,85.9969854263779
2021-09-17,86.95627601603681
2021-09-20,86.32814104206197
2021-09-21,86.54106435821645
2021-09-22,87.03679180633162
2021-09-23,87.51405077649565
2021-09-24,86.94875555494215
2021-09-27,88.5234998992527
2021-09-28,88.28937765588178
2021-09-29,87.9538200645966
2021-09-30,88.20741040125426
2021-10-01,88.5781782177693
2021-10-04,88.91989001424008
2021-10-05,88.30785965823378
2021-10-06,87.48481079621037
2021-10-07,88.0722111933598
2021-10-08,87.5691908083872
2021-10-11,87.70224519935297
2021-10-12,88.40151062991549
2021-10-13,88.50215491095858
2021-10-14,88.32860623470393
2021-10-15,87.38544607383287
2021-10-18,87.07718525119202
2021-10-19,86.7331099883287
2021-10-20,86.96750151894864
2021-10-21,86.96254550869304
2021-10-22,86.84653385927372
2021-10-25,87.20376972320871
2021-10-26,86.46879255659773
2021-10-27,85.2563004624365
2021-10-28,86.12546384062007
2021-10-29,85.9284636837707
2021-11-01,88.00393182102223
2021-11-02,87.83310910353441
2021-11-03,88.86033888867175
2021-11-04,88.41019152792022
2021-11-05,89.30850539518427
2021-11-08,89.50910968760783
2021-11-09,89.28392302355557
2021-11-10,88.58966984487382
